order;name;price
1;1 Liter Frischgepresseter Orangensaft;6,50
2;1 Liter Frischgepresseter Apfelsaft;6,50
3;kl. MAI Saft;2,80
4;kl. MAI, Zitrone Orange;3,00
5;kl. Limette Gurke Orange;2,50
6;kl. Ananas Limette Orange;3,00
7;kl. Wassermelone Apfel Zitrone;2,90
8;kl. O-Saft;2,70
9;kl. Apfel Saft;2,90
10;kl. Karotten Saft;2,50
11;kl. Ananas Saft;3,20
12;gr. MAI Saft;3,50
13;gr. MAI.Zitrone Orange;3,90
14;gr. Limette Gurke Orange;3,50
15;gr. Ananas Limeette Orange;3,90
16;gr. Waserm.Apfel Zitrone;3,60
17;gr. O-Saft;3,40
18;gr. Apfel Saft;3,60
19;gr. Karotten Saft;3,30
20;gr. Ananas Saft;4,50
21;RedBull - Wassermelone Zitrone;4,20
22;RedBull - Apfel Limette;4,30
23;RedBull - Orange Zitrone;4,40
24;RedBull - Ananas.Limette;4,80
